"response","clade","model","num.models","estimate","importance","lower","upper"
"rsq","All","prop.dna",3783,0.2586673238231,0.618627709785608,-0.0720345076624044,0.589369155308604
"rsq","All","age.dna",3783,0.0149078481423436,0.54496852253723,-0.225757517777437,0.255573214062124
"rsq","All","prop.line",3783,-0.111516628419082,0.397193695316314,-0.340271197420807,0.117237940582644
"rsq","All","age.line",3783,0.180218141996623,0.658721124960908,-0.0374534430742159,0.397889727067463
"rsq","All","prop.ltr",3783,0.655208216363467,0.763869084603055,-0.24381132663239,1.55422775935932
"rsq","All","age.ltr",3783,0.140406977381094,0.778942332490124,-0.216044547932203,0.496858502694391
"rsq","All","prop.sine",3783,-0.388986059773104,0.690242396610858,-0.929851002899955,0.151878883353747
"rsq","All","age.sine",3783,0.152674306662769,0.962010742258639,-0.102371887830604,0.407720501156141
"rsq","All","prop.unknown",3783,-0.0186819488980582,0.352938128622615,-0.51131864153286,0.473954743736743
"rsq","All","age.unknown",3783,-0.170456899344193,0.615697819029041,-0.382790258000415,0.0418764593120283
"rsq","All","prop.others",3783,-0.120711739282205,0.270562061763975,-0.574573551789568,0.333150073225159
"rsq","All","age.others",3783,-0.0205081061074634,0.239093398151997,-0.224042487412061,0.183026275197134
"rsq","All","age.dna:prop.dna",3783,-1.62072853654064,0.405679996590249,-2.93003042155414,-0.311426651527146
"rsq","All","age.line:prop.line",3783,0.095972510460386,0.055528074837542,-0.628862710164851,0.820807731085623
"rsq","All","age.ltr:prop.ltr",3783,-1.71537057452675,0.652846869505382,-3.00932349402387,-0.421417655029626
"rsq","All","age.sine:prop.sine",3783,1.55469150059761,0.59319346081306,0.276366738014449,2.83301626318077
"rsq","All","age.unknown:prop.unknown",3783,-0.298743145804456,0.0774829882685463,-2.96888208154202,2.37139578993311
"rsq","All","age.others:prop.others",3783,0.466944575064472,0.0164034197324847,-0.719866097724881,1.65375524785382
"rsq","Mammalia","prop.dna",2428,-0.194253320132956,0.317662176383588,-0.728537993092607,0.340031352826696
"rsq","Mammalia","age.dna",2428,-0.138750851510402,0.265889245401884,-0.53161118262565,0.254109479604846
"rsq","Mammalia","prop.line",2428,-0.0526101751754565,0.296525397830771,-0.466873836435941,0.361653486085029
"rsq","Mammalia","age.line",2428,0.127889403883099,0.564939636584471,-0.180627701349937,0.436406509116134
"rsq","Mammalia","prop.ltr",2428,-0.0971763205463279,0.223011889012706,-0.698816933771,0.504464292678345
"rsq","Mammalia","age.ltr",2428,-0.140555386975742,0.306658070746113,-0.499577296662004,0.218466522710519
"rsq","Mammalia","prop.sine",2428,-0.331976462790669,0.887156575868272,-0.865483157554097,0.201530231972759
"rsq","Mammalia","age.sine",2428,-0.0466365478007918,0.904505870049037,-0.429042864623678,0.335769769022095
"rsq","Mammalia","prop.unknown",2428,-0.0879462355423176,0.223063192512768,-0.453901084443009,0.278008613358374
"rsq","Mammalia","age.unknown",2428,-0.0581629718597825,0.224685711822788,-0.279370122046612,0.163044178327047
