"clade","thrs","repeat","phylosig","stat","intercept","chromnum.1n","median.trans","rep.prop","chromnum.1n:median.trans","chromnum.1n:rep.prop","median.trans:rep.prop","chromnum.1n:median.trans:rep.prop","R2"
"Mammalia",0.01,"sine","FALSE","p",0.0306828993652859,0.0402289527282833,0.0395430492374669,0.0840196039645566,0.0353343695582665,0.0447993628101189,0.0743935975191751,0.0416686375150289,0.125064190136045
"Mammalia",0.01,"sine","FALSE","beta",6.26418693122833,-0.211327238874392,-7.40145078649449,-76.0427751174739,0.273579173673129,3.3268860752788,96.358187865448,-4.20041716420745,0.125064190136045
"Mammalia",0.01,"ltr","TRUE","p",0.079121179165649,0.0145404827056694,0.0106153385181705,NA,0.00927243853069365,NA,NA,NA,0.211644078613903
"Mammalia",0.01,"ltr","TRUE","beta",-1.66558056758913,0.103690305348615,3.43573579231173,NA,-0.158185304013592,NA,NA,NA,0.211644078613903
"Mammalia",0.01,"dna","FALSE","p",0.251800685385892,NA,0.795447425189294,0.0496569372443747,NA,NA,0.0973254283426069,NA,0.091507663554441
"Mammalia",0.01,"dna","FALSE","beta",0.906009268724527,NA,-0.309046789634493,-56.1522308043443,NA,NA,66.59528830963,NA,0.091507663554441
"Mammalia",0.01,"rc","FALSE","p",0.000591134153659239,0.00132187885808218,0.00110685992808714,0.00101490953399925,0.00142119021647734,0.00144270807678134,0.00124202778524169,0.00159400854369095,0.256252993275696
"Mammalia",0.01,"rc","FALSE","beta",12.9665069794214,-0.517231246568284,-22.2509589303976,-109729.727905856,0.931378922488992,4807.61336301307,190774.663874195,-8464.31955832246,0.256252993275696
"Actinopterygii",0.01,"total","FALSE","p",0.0245122137045385,0.006915953299224,0.0178726591958358,0.0275572571514516,0.00769675297837363,0.0528158027644668,0.0945337259683247,NA,0.286995983047638
"Actinopterygii",0.01,"total","FALSE","beta",-11.5887498955344,0.59190631921848,15.2863714377212,-10.8037027109765,-0.734367011980829,0.125199715283709,9.30169245987726,NA,0.286995983047638
"Actinopterygii",0.01,"line","FALSE","p",0.173607207117376,0.105501750664295,0.117701199644075,NA,0.120408677523914,NA,NA,NA,0.120448451750273
"Actinopterygii",0.01,"line","FALSE","beta",-3.56896112799791,0.162059972665157,4.60773953235506,NA,-0.173898186250258,NA,NA,NA,0.120448451750273
"Actinopterygii",0.01,"sine","FALSE","p",0.0718035423790813,0.06406290815784,0.0641729015495787,0.150165524213487,0.0651831053755412,0.144060616752039,0.15799353696393,0.148596571416096,0.216511651586962
"Actinopterygii",0.01,"sine","FALSE","beta",-19.4626980625695,0.815348489581247,22.181513197244,1663.361249795,-0.897592369514551,-68.4018696577619,-1830.29224188634,75.7475693275341,0.216511651586962
"Actinopterygii",0.01,"ltr","FALSE","p",0.108956068693133,0.101012550448644,0.103620417314595,0.168394451963203,0.113842773903034,0.157342055653751,0.179140642386068,0.167046671084143,0.165468778612399
"Actinopterygii",0.01,"ltr","FALSE","beta",-12.5300759734242,0.554104603754709,15.6018344516643,430.195719109683,-0.655336091009436,-18.954382195883,-514.623836327951,22.77948787249,0.165468778612399
"Actinopterygii",0.01,"dna","FALSE","p",2.6287001070128e-06,0.0827372011450735,NA,NA,NA,NA,NA,NA,0.0668534758292398
"Actinopterygii",0.01,"dna","FALSE","beta",0.546116725384846,0.00683213781380741,NA,NA,NA,NA,NA,NA,0.0668534758292398
"Actinopterygii",0.01,"rc","FALSE","p",2.78863907448286e-06,0.0349529795551238,NA,0.113065517904286,NA,NA,NA,NA,0.120379020397689
"Actinopterygii",0.01,"rc","FALSE","beta",0.537204791316089,0.00854886665165786,NA,-9.10506217928281,NA,NA,NA,NA,0.120379020397689
"Sauria",0.01,"total","FALSE","p",0.317509195141239,0.261469267352566,0.374936513672101,0.0902677341343909,0.260394945392388,0.0831924132289494,0.0869706373589391,0.0826121423743879,0.0725646938785915
"Sauria",0.01,"total","FALSE","beta",6.19289933755343,-0.19053414348876,-6.64323415340919,-47.4872802316404,0.233989765773542,1.98144633083127,59.1950634457095,-2.48886848658887,0.0725646938785915
"Sauria",0.01,"line","FALSE","p",0.709610798108698,0.506159473966413,0.82997118434598,0.368260048551087,0.503497282805518,0.147859146962167,0.363887952462387,0.144558625902505,0.0886399422169066
"Sauria",0.01,"line","FALSE","beta",1.76670049492182,-0.0932117341666277,-1.30857141937256,-48.1270620046627,0.1233365098285,2.56958884134835,62.0169393181953,-3.36438055415116,0.0886399422169066
"Sauria",0.01,"sine","FALSE","p",0.0674447630235062,0.180767446035044,0.138053116421203,0.218445671283741,0.148366882420593,NA,0.121397218376586,NA,0.0852739037002007
"Sauria",0.01,"sine","FALSE","beta",2.63279730155132,-0.0527475673262546,-3.39601211313308,-57.0801523502749,0.0918997420158282,NA,99.9554599205243,NA,0.0852739037002007
"Sauria",0.01,"ltr","FALSE","p",0.960474375786617,NA,0.0726714035259419,NA,NA,NA,NA,NA,0.0606336583011414
"Sauria",0.01,"ltr","FALSE","beta",-0.0195251726877549,NA,0.900647562724177,NA,NA,NA,NA,NA,0.0606336583011414
"Sauria",0.01,"dna","FALSE","p",0.934567707821065,0.841623459276714,0.693076626315419,0.0671508364840645,0.773140709756233,0.0193775584946931,0.0684256538588134,0.0226592257117433,0.238530352659178
"Sauria",0.01,"dna","FALSE","beta",0.124958131705832,-0.0086226737530912,0.891604390543166,284.755871354289,0.0188695220213104,-15.0631228973542,-349.357211874645,17.936176842027,0.238530352659178
"Sauria",0.01,"rc","FALSE","p",2.12769862304272e-23,NA,NA,NA,NA,NA,NA,NA,0
"Sauria",0.01,"rc","FALSE","beta",0.698181731575455,NA,NA,NA,NA,NA,NA,NA,0
"Total",0.02,"total","TRUE","p",0.129522471470679,0.0350723846811975,0.0976264720443049,0.0400894582100721,0.0688225467263186,0.00529592566724357,0.0637773882631308,0.0142059814257819,0.330251055622151
"Total",0.02,"total","TRUE","beta",-3.31743671403474,0.149737601622462,4.40458459129729,11.318829172093,-0.16309869608024,-0.513809832168392,-12.3173760372927,0.561839088411347,0.330251055622151
"Total",0.02,"line","TRUE","p",0.0108717530332988,0.000677074858929649,0.00276622985230943,0.000127453814845536,0.0067557016208817,3.17396699055815e-06,NA,NA,0.337274618679112
"Total",0.02,"line","TRUE","beta",-1.95281524302289,0.0868007641626989,2.65832114178508,3.90957444980471,-0.0829143086991719,-0.165596679378807,NA,NA,0.337274618679112
"Total",0.02,"sine","TRUE","p",0.00238960415038946,0.0307736693479852,0.318370045140564,0.0114124227520279,NA,0.0579911434627846,0.0181511094016737,NA,0.291736878945224
"Total",0.02,"sine","TRUE","beta",0.717151442134345,0.00726681107859232,-0.214408881973528,15.5678138815785,NA,-0.141807795358107,-15.9570091709417,NA,0.291736878945224
"Total",0.02,"ltr","TRUE","p",0.106160668705607,0.00731797796109199,0.499151807206795,0.139047150303503,NA,0.0971332674074956,0.040140393028785,NA,0.266988246061745
"Total",0.02,"ltr","TRUE","beta",0.707902959589856,0.012352747008268,-0.337895577083728,-19.6408643771037,NA,-0.239440761111299,31.3890599529675,NA,0.266988246061745
"Total",0.02,"dna","TRUE","p",0.000453274266607298,0.0344018442873846,0.353705342309078,4.86292368721583e-07,NA,NA,4.50548387249108e-07,NA,0.28138199505779
"Total",0.02,"dna","TRUE","beta",0.819520737849013,0.00534940597747111,-0.247244345569756,-36.0041630921412,NA,NA,40.2353393555548,NA,0.28138199505779
"Total",0.02,"rc","TRUE","p",0.61041017023068,0.61526997492317,0.377069782519626,0.00229555731044881,0.946994683049139,0.00454767326895778,0.00258459267786651,0.00492993481949136,0.209834892075326
"Total",0.02,"rc","TRUE","beta",0.192793205614945,0.00780361641555153,0.520786058627235,-1645.06475824385,-0.00165427739625414,57.2190020386582,1858.08355157925,-66.2743008719606,0.209834892075326
"Mammalia",0.02,"total","TRUE","p",0.413325987875682,0.0388659650086155,NA,0.027098154237459,NA,0.0147136937571795,NA,NA,0.200388593106114
"Mammalia",0.02,"total","TRUE","beta",-0.456910647175269,0.0457816724618919,NA,3.30262731886671,NA,-0.144748239560632,NA,NA,0.200388593106114
"Mammalia",0.02,"line","FALSE","p",0.0268668216267368,0.051014197240993,0.013757800786691,0.0226686824183758,0.0400853856641841,0.0924091324668418,0.0142433116206487,0.0650462384308023,0.139414425459821
"Mammalia",0.02,"line","FALSE","beta",-7.53456488270068,0.2791187660232,11.5992171014677,29.5682602384029,-0.397307000379174,-1.00390152088569,-42.8407185779653,1.43570408552067,0.139414425459821
"Mammalia",0.02,"sine","FALSE","p",0.0181663109720111,0.0276904028731147,0.0238466317642987,0.0550198551633428,0.0242995048195125,0.0338041181114557,0.0479777845420043,0.0313373676734328,0.124452875999062
"Mammalia",0.02,"sine","FALSE","beta",6.78340196955539,-0.22413425493697,-8.04762831042169,-83.6394213831095,0.289458630131948,3.47310099991994,105.791208572634,-4.38092247231329,0.124452875999062
"Mammalia",0.02,"ltr","TRUE","p",0.079121179165649,0.0145404827056694,0.0106153385181705,NA,0.00927243853069365,NA,NA,NA,0.211644078613903
"Mammalia",0.02,"ltr","TRUE","beta",-1.66558056758913,0.103690305348615,3.43573579231173,NA,-0.158185304013592,NA,NA,NA,0.211644078613903
"Mammalia",0.02,"dna","FALSE","p",0.312317906217505,NA,0.909449461070335,0.0639554968189223,NA,NA,0.122546062985805,NA,0.0892476968083736
"Mammalia",0.02,"dna","FALSE","beta",0.788848106177038,NA,-0.134049090162673,-52.2171082386375,NA,NA,61.1533524991424,NA,0.0892476968083736
"Mammalia",0.02,"rc","FALSE","p",0.000897879075653024,0.00184284246410471,0.00163946977094115,0.00110251960024207,0.00196622899905156,0.00151163715706889,0.00132374579843545,0.00165972325131914,0.240479540258627
"Mammalia",0.02,"rc","FALSE","beta",12.5133840769239,-0.500551411682451,-21.4465266690767,-108696.634308426,0.901740779792415,4775.19758042205,189240.084646476,-8411.2889924215,0.240479540258627
"Actinopterygii",0.02,"total","FALSE","p",0.0245122137045385,0.006915953299224,0.0178726591958358,0.0275572571514516,0.00769675297837363,0.0528158027644668,0.0945337259683247,NA,0.286995983047638
"Actinopterygii",0.02,"total","FALSE","beta",-11.5887498955344,0.59190631921848,15.2863714377212,-10.8037027109765,-0.734367011980829,0.125199715283709,9.30169245987726,NA,0.286995983047638
"Actinopterygii",0.02,"line","FALSE","p",0.173607207117376,0.105501750664295,0.117701199644075,NA,0.120408677523914,NA,NA,NA,0.120448451750273
"Actinopterygii",0.02,"line","FALSE","beta",-3.56896112799791,0.162059972665157,4.60773953235506,NA,-0.173898186250258,NA,NA,NA,0.120448451750273
"Actinopterygii",0.02,"sine","FALSE","p",0.0718035423790813,0.06406290815784,0.0641729015495787,0.150165524213487,0.0651831053755412,0.144060616752039,0.15799353696393,0.148596571416096,0.216511651586962
"Actinopterygii",0.02,"sine","FALSE","beta",-19.4626980625695,0.815348489581247,22.181513197244,1663.361249795,-0.897592369514551,-68.4018696577619,-1830.29224188634,75.7475693275341,0.216511651586962
"Actinopterygii",0.02,"ltr","FALSE","p",0.108956068693133,0.101012550448644,0.103620417314595,0.168394451963203,0.113842773903034,0.157342055653751,0.179140642386068,0.167046671084143,0.165468778612399
"Actinopterygii",0.02,"ltr","FALSE","beta",-12.5300759734242,0.554104603754709,15.6018344516643,430.195719109683,-0.655336091009436,-18.954382195883,-514.623836327951,22.77948787249,0.165468778612399
"Actinopterygii",0.02,"dna","FALSE","p",2.6287001070128e-06,0.0827372011450735,NA,NA,NA,NA,NA,NA,0.0668534758292398
"Actinopterygii",0.02,"dna","FALSE","beta",0.546116725384846,0.00683213781380741,NA,NA,NA,NA,NA,NA,0.0668534758292398
"Actinopterygii",0.02,"rc","FALSE","p",2.78863907448286e-06,0.0349529795551238,NA,0.113065517904286,NA,NA,NA,NA,0.120379020397689
"Actinopterygii",0.02,"rc","FALSE","beta",0.537204791316089,0.00854886665165786,NA,-9.10506217928281,NA,NA,NA,NA,0.120379020397689
"Sauria",0.02,"total","FALSE","p",0.317509195141239,0.261469267352566,0.374936513672101,0.0902677341343909,0.260394945392388,0.0831924132289494,0.0869706373589391,0.0826121423743879,0.0725646938785915
"Sauria",0.02,"total","FALSE","beta",6.19289933755343,-0.19053414348876,-6.64323415340919,-47.4872802316404,0.233989765773542,1.98144633083127,59.1950634457095,-2.48886848658887,0.0725646938785915
"Sauria",0.02,"line","FALSE","p",0.709610798108698,0.506159473966413,0.82997118434598,0.368260048551087,0.503497282805518,0.147859146962167,0.363887952462387,0.144558625902505,0.0886399422169066
"Sauria",0.02,"line","FALSE","beta",1.76670049492182,-0.0932117341666277,-1.30857141937256,-48.1270620046627,0.1233365098285,2.56958884134835,62.0169393181953,-3.36438055415116,0.0886399422169066
"Sauria",0.02,"sine","FALSE","p",0.0674447630235062,0.180767446035044,0.138053116421203,0.218445671283741,0.148366882420593,NA,0.121397218376586,NA,0.0852739037002007
"Sauria",0.02,"sine","FALSE","beta",2.63279730155132,-0.0527475673262546,-3.39601211313308,-57.0801523502749,0.0918997420158282,NA,99.9554599205243,NA,0.0852739037002007
"Sauria",0.02,"ltr","FALSE","p",0.960474375786617,NA,0.0726714035259419,NA,NA,NA,NA,NA,0.0606336583011414
"Sauria",0.02,"ltr","FALSE","beta",-0.0195251726877549,NA,0.900647562724177,NA,NA,NA,NA,NA,0.0606336583011414
"Sauria",0.02,"dna","FALSE","p",0.934567707821065,0.841623459276714,0.693076626315419,0.0671508364840645,0.773140709756233,0.0193775584946931,0.0684256538588134,0.0226592257117433,0.238530352659178
"Sauria",0.02,"dna","FALSE","beta",0.124958131705832,-0.0086226737530912,0.891604390543166,284.755871354289,0.0188695220213104,-15.0631228973542,-349.357211874645,17.936176842027,0.238530352659178
"Sauria",0.02,"rc","FALSE","p",2.12769862304272e-23,NA,NA,NA,NA,NA,NA,NA,0
"Sauria",0.02,"rc","FALSE","beta",0.698181731575455,NA,NA,NA,NA,NA,NA,NA,0
"Total",0.03,"total","TRUE","p",0.129522471470679,0.0350723846811975,0.0976264720443049,0.0400894582100721,0.0688225467263186,0.00529592566724357,0.0637773882631308,0.0142059814257819,0.330251055622151
"Total",0.03,"total","TRUE","beta",-3.31743671403474,0.149737601622462,4.40458459129729,11.318829172093,-0.16309869608024,-0.513809832168392,-12.3173760372927,0.561839088411347,0.330251055622151
"Total",0.03,"line","TRUE","p",0.0108717530332988,0.000677074858929649,0.00276622985230943,0.000127453814845536,0.0067557016208817,3.17396699055815e-06,NA,NA,0.337274618679112
"Total",0.03,"line","TRUE","beta",-1.95281524302289,0.0868007641626989,2.65832114178508,3.90957444980471,-0.0829143086991719,-0.165596679378807,NA,NA,0.337274618679112
"Total",0.03,"sine","TRUE","p",0.00238960415038946,0.0307736693479852,0.318370045140564,0.0114124227520279,NA,0.0579911434627846,0.0181511094016737,NA,0.291736878945224
"Total",0.03,"sine","TRUE","beta",0.717151442134345,0.00726681107859232,-0.214408881973528,15.5678138815785,NA,-0.141807795358107,-15.9570091709417,NA,0.291736878945224
"Total",0.03,"ltr","TRUE","p",0.106160668705607,0.00731797796109199,0.499151807206795,0.139047150303503,NA,0.0971332674074956,0.040140393028785,NA,0.266988246061745
"Total",0.03,"ltr","TRUE","beta",0.707902959589856,0.012352747008268,-0.337895577083728,-19.6408643771037,NA,-0.239440761111299,31.3890599529675,NA,0.266988246061745
"Total",0.03,"dna","TRUE","p",0.000453274266607298,0.0344018442873846,0.353705342309078,4.86292368721583e-07,NA,NA,4.50548387249108e-07,NA,0.28138199505779
"Total",0.03,"dna","TRUE","beta",0.819520737849013,0.00534940597747111,-0.247244345569756,-36.0041630921412,NA,NA,40.2353393555548,NA,0.28138199505779
"Total",0.03,"rc","TRUE","p",0.61041017023068,0.61526997492317,0.377069782519626,0.00229555731044881,0.946994683049139,0.00454767326895778,0.00258459267786651,0.00492993481949136,0.209834892075326
"Total",0.03,"rc","TRUE","beta",0.192793205614945,0.00780361641555153,0.520786058627235,-1645.06475824385,-0.00165427739625414,57.2190020386582,1858.08355157925,-66.2743008719606,0.209834892075326
"Mammalia",0.03,"total","TRUE","p",0.413325987875682,0.0388659650086155,NA,0.027098154237459,NA,0.0147136937571795,NA,NA,0.200388593106114
"Mammalia",0.03,"total","TRUE","beta",-0.456910647175269,0.0457816724618919,NA,3.30262731886671,NA,-0.144748239560632,NA,NA,0.200388593106114
"Mammalia",0.03,"line","FALSE","p",0.0268668216267368,0.051014197240993,0.013757800786691,0.0226686824183758,0.0400853856641841,0.0924091324668418,0.0142433116206487,0.0650462384308023,0.139414425459821
