"species","clade","class","order","family","chromnum.1n","chromnum.est","chromnum.source","chromnum.database","est.gnsz.Mbp","est.gnsz.source","est.gnsz.db","asmblysize.Mbp","genedens","beta","pval.beta","rsq","cv","weightcv","repcontent.Mbp","repcontent.pctcvrg","k2p.mean","k2p.median","name","size.Mbp","genecount"
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,9.17372049283188,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"2",199.809881,1833
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,11.6164834695886,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"4",144.794249,1682
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,10.6167160845862,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"10",110.580333,1174
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,7.38822708667209,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"1",212.770937,1572
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,18.512806576326,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"12",81.781225,1514
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,7.69161098940161,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"X",112.850221,868
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,8.67320107823736,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"14",106.650358,925
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,7.66605386281079,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"7",141.533052,1085
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,11.3891585732974,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"8",129.24572,1472
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,8.06308270164096,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"6",131.587389,1061
"Ailuropoda melanoleuca","Mammalia","Mammalia","Carnivora","Ursidae",21,NA,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2400,"Yang, H. (2010). Sequencing and analysis of the giant panda genome. Science China.Life Sciences, 53(8), 1047-1048. https://doi.org/10.1007/s11427-010-4046-9","",2444.060653,7.45441819443006,7.48836619203553,3.96770069221278e-05,0.597725010616401,0.332793889885703,0.305558315637728,746.129205,30.5282605848653,18.7027212719813,19.4453585517341,"19",35.683536,266
